Latitude,Longitude,Station,Departement,Region,Annee,Supercifie_Topographique
46.340466453,3.310242911,SIOULE à CONTIGNY,Allier,Auvergne-Rhône-Alpes,1900-01-01,
46.263132788,3.226297988,BOUBLE à CHAREIL-CINTRAT,Allier,Auvergne-Rhône-Alpes,1900-01-01,
46.054503898,2.915905164,SIOULE à LISSEUIL,Puy-de-Dôme,Auvergne-Rhône-Alpes,1900-01-01,
45.825346163,2.61859276,SIOULET à COMBRAILLES,Puy-de-Dôme,Auvergne-Rhône-Alpes,1900-01-01,
45.879678279,2.809031706,SIOULE à MONTFERMY,Puy-de-Dôme,Auvergne-Rhône-Alpes,1900-01-01,
45.770258801,2.835214742,SIOULE à MAZAYE,Puy-de-Dôme,Auvergne-Rhône-Alpes,1900-01-01,
46.131360125,3.492374419,JOLAN à CUSSET,Allier,Auvergne-Rhône-Alpes,1900-01-01,
46.024051677,3.647225027,SICHON à FERRIERES-SUR-SICHON,Allier,Auvergne-Rhône-Alpes,1900-01-01,
45.878180929,3.482185056,DORE à DORAT,Puy-de-Dôme,Auvergne-Rhône-Alpes,1900-01-01,
45.675106745,3.630143903,DORE à OLLIERGUES,Puy-de-Dôme,Auvergne-Rhône-Alpes,1900-01-01,
45.382636782,3.74557209,DORE à DORE-L'EGLISE,Puy-de-Dôme,Auvergne-Rhône-Alpes,1900-01-01,
45.900166064,3.295036299,BEDAT à SAINT-LAURE,Puy-de-Dôme,Auvergne-Rhône-Alpes,1900-01-01,
46.018130522,3.074826052,MORGE à MONTCEL,Puy-de-Dôme,Auvergne-Rhône-Alpes,1900-01-01,
45.557298971,2.882879465,COUZE CHAMBON à CHAMBON-SUR-LAC,Puy-de-Dôme,Auvergne-Rhône-Alpes,1900-01-01,
45.532612344,3.010764857,COUZE PAVIN à SAINT-DIERY,Puy-de-Dôme,Auvergne-Rhône-Alpes,1900-01-01,
45.141909949,3.01412345,ALAGNON à JOURSAC,Cantal,Auvergne-Rhône-Alpes,1900-01-01,
45.281619366,2.909123676,ALLANCHE OU COURBIERES À PRADIERS,Cantal,Auvergne-Rhône-Alpes,1900-01-01,
45.253265098,3.654940367,SENOUIRE à SAINT-PAL-DE-SENOUIRE,Haute-Loire,Auvergne-Rhône-Alpes,1900-01-01,
45.015630849,3.458752234,DESGES à DESGES,Haute-Loire,Auvergne-Rhône-Alpes,1900-01-01,
44.8986312,3.632054669,ANCE DU SUD à SAINT-PREJET-D'ALLIER,Haute-Loire,Auvergne-Rhône-Alpes,1900-01-01,
44.69931942,3.743922592,CHAPEAUROUX à PIERREFICHE,Lozère,Occitanie,1900-01-01,
44.563916272,3.848476604,ALLIER à CHASSERADES,Lozère,Occitanie,1900-01-01,
44.67579868,3.916144834,RAU DE LIAURON à CELLIER-DU-LUC,Ardèche,Auvergne-Rhône-Alpes,1900-01-01,
46.98260563,3.151957122,LOIRE à NEVERS,Nièvre,Bourgogne-Franche-Comté,1900-01-01,
47.022508651,3.209511596,NIEVRE à COULANGES-LES-NEVERS,Nièvre,Bourgogne-Franche-Comté,1900-01-01,
47.236771564,3.250339342,NIEVRE à DOMPIERRE-SUR-NIEVRE,Nièvre,Bourgogne-Franche-Comté,1900-01-01,
46.511689404,3.559210989,ACOLIN à THIEL-SUR-ACOLIN,Allier,Auvergne-Rhône-Alpes,1900-01-01,
46.828012725,3.457743987,LOIRE à DECIZE,Nièvre,Bourgogne-Franche-Comté,1900-01-01,
46.913421169,3.652615822,CANNE à SAINT-GRATIEN-SAVIGNY,Nièvre,Bourgogne-Franche-Comté,1900-01-01,
46.798843437,4.02840957,ALENE à LUZY,Nièvre,Bourgogne-Franche-Comté,1900-01-01,
46.715504429,3.882307314,SOMME à CRESSY-SUR-SOMME,Saône-et-Loire,Bourgogne-Franche-Comté,1900-01-01,
46.501677977,3.678657069,BESBRE à DOMPIERRE-SUR-BESBRE,Allier,Auvergne-Rhône-Alpes,1900-01-01,
46.206570925,3.649999803,BESBRE à SAINT-PRIX,Allier,Auvergne-Rhône-Alpes,1900-01-01,
46.019741841,3.740752329,BESBRE à CHABANNE (LA),Allier,Auvergne-Rhône-Alpes,1900-01-01,
46.474353162,3.75674508,ROUDON à SALIGNY-SUR-ROUDON,Allier,Auvergne-Rhône-Alpes,1900-01-01,
46.342785968,3.891765575,VOUZANCE à NEUILLY-EN-DONJON,Allier,Auvergne-Rhône-Alpes,1900-01-01,
46.49189962,3.940491903,LOIRE à LA MOTTE-SAINT-JEAN,Saône-et-Loire,Bourgogne-Franche-Comté,1900-01-01,
46.533701622,4.032376373,ARROUX à RIGNY-SUR-ARROUX,Saône-et-Loire,Bourgogne-Franche-Comté,1900-01-01,
46.471765769,4.078916419,BOURBINCE à VITRY-EN-CHAROLLAIS,Saône-et-Loire,Bourgogne-Franche-Comté,1900-01-01,
46.906797309,4.197313107,ARROUX à LAIZY,Saône-et-Loire,Bourgogne-Franche-Comté,1900-01-01,
46.96605135,4.296900227,ARROUX à AUTUN,Saône-et-Loire,Bourgogne-Franche-Comté,1900-01-01,
47.102918856,4.231087246,TERNIN à CHISSEY-EN-MORVAN,Saône-et-Loire,Bourgogne-Franche-Comté,1900-01-01,
46.228475035,4.259195075,SORNIN à SAINT-MAURICE-LES-CHATEAUNEUF,Saône-et-Loire,Bourgogne-Franche-Comté,1900-01-01,
45.944726369,4.351725702,RANCONNET à AMPLEPUIS,Rhône,Auvergne-Rhône-Alpes,1900-01-01,
45.834741998,4.130428182,AIX à SAINT-GEORGES-DE-BAROILLE,Loire,Auvergne-Rhône-Alpes,1900-01-01,
45.496587298,4.155904475,MARE à SAINT-MARCELLIN-EN-FOREZ,Loire,Auvergne-Rhône-Alpes,1900-01-01,
45.627989065,4.525578682,COISE à LARAJASSE,Rhône,Auvergne-Rhône-Alpes,1900-01-01,
45.285562614,4.11411131,ANCE DU NORD à BEAUZAC,Haute-Loire,Auvergne-Rhône-Alpes,1900-01-01,
45.379774285,3.890924135,ANCE DU NORD à SAUVESSANGES,Puy-de-Dôme,Auvergne-Rhône-Alpes,1900-01-01,
45.220056143,4.331558616,DUNIERES à DUNIERES,Haute-Loire,Auvergne-Rhône-Alpes,1900-01-01,
48.596183376,-1.292782406,LA SÉLUNE A SAINT-AUBIN-DE-TERREGATTE 1,Manche,Normandie,2010-03-08,
48.621232751,-0.941232585,LA CANCE A ROMAGNY 1,Manche,Normandie,2010-03-08,
48.709066551,-1.261783681,LA SÉE A TIREPIED,Manche,Normandie,2010-03-08,
48.731057612,-1.103258547,LE GLANON A CUVES 2,Manche,Normandie,2010-03-08,
48.701055698,-0.901617517,LA SÉE ROUSSE A SOURDEVAL 2,Manche,Normandie,2010-03-08,
48.897917102,-1.387725158,L'AIROU A VER 2,Manche,Normandie,2010-03-08,
48.90460146,-1.348583042,LA BERENCE A GAVRAY,Manche,Normandie,2012-01-13,
48.934782746,-1.296099825,LA SIENNE A LA BALEINE 1,Manche,Normandie,2010-03-08,
49.61343304,-1.404082462,LA SAIRE A BRILLEVAST 1,Manche,Normandie,2010-03-08,
49.220805627,-1.272282702,LA TAUTE A SAINT-ANDRE-DE-BOHON 1,Manche,Normandie,2010-03-08,
48.998239116,-1.06270034,LA RIVIÈRE DE JACRE A DOMJEAN 2,Manche,Normandie,2010-03-08,
48.858999671,-0.483082328,LE NOIREAU A BERJOU 1,Orne,Normandie,2006-09-11,
48.767372838,-0.714545435,LA DURANCE A TINCHEBRAY,Orne,Normandie,2012-01-13,
48.670312372,-0.306889882,LA ROUVRE A FAVEROLLES 2,Orne,Normandie,2001-07-11,
48.748363353,-0.061340768,L'HOUAY A MOULINS-SUR-ORNE 1,Orne,Normandie,2010-03-08,
48.753659815,0.100385111,L'URE A SILLY-EN-GOUFFERN 2,Orne,Normandie,2010-03-08,
48.904119713,0.212126844,LA VIE A GUERQUESALLES 1,Orne,Normandie,2010-03-08,
49.11120147,-0.152864178,LA MUANCE A MOULT 1,Calvados,Normandie,2010-03-08,
49.124361735,0.336399467,LA COURTONNE A COURTONNE-LA-MEURDRAC 2,Calvados,Normandie,2012-06-20,
49.105316671,0.216533093,LA TOUQUES A SAINT-MARTIN-DE-LA-LIEUE 1,Calvados,Normandie,2001-10-23,
49.016032414,0.553416839,LA CHARENTONNE A FERRIERES-SAINT-HILAIRE 1,Eure,Normandie,2001-08-09,
48.901086702,0.456930259,LA GUIEL A VERNEUSSES 1,Eure,Normandie,2010-03-08,
48.776618563,0.412172565,LE TREMONT A SAINT-EVROULT-NOTRE-DAME-DU-BOIS 1,Orne,Normandie,2016-03-16,
49.743947476,0.479315969,LA VALMONT A COLLEVILLE 1,Seine-Maritime,Normandie,2010-03-08,
49.881619971,1.138854287,LA BÉTHUNE A ARQUES-LA-BATAILLE 1,Seine-Maritime,Normandie,2001-11-05,
49.506210238,0.535889212,LA RIVIERE DU COMMERCE A LILLEBONNE 3,Seine-Maritime,Normandie,2010-03-08,
49.50839983,1.036954004,LE CAILLY A LE HOULME 1,Seine-Maritime,Normandie,2010-03-08,
48.764813129,0.761750555,L'ITON A CHAISE-DIEU-DU-THEIL 1,Eure,Normandie,2001-11-05,
